"TEST_NAME","TEST_CODE","PASS_SCORE","TOTAL_QUESTIONS","SCORED_QUESTIONS","UNSCORED_QUESTIONS","TIME_MINUTES","DOMAIN","QUESTION","OPTION_A","OPTION_B","OPTION_C","OPTION_D","CORRECT_ANSWER","EXPLANATION"
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What are the three primary cloud service models defined by NIST SP 800-145?","Storage as a Service, Compute as a Service, and Network as a Service representing resource types","Database as a Service, Security as a Service, and Identity as a Service representing managed services","Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS)","Public Cloud, Private Cloud, and Hybrid Cloud representing deployment not service models","C","NIST SP 800-145 defines three cloud service models: IaaS (provider manages physical infrastructure, networking, virtualization; customer manages OS through applications), PaaS (provider adds OS and middleware; customer manages applications and data), SaaS (provider manages everything; customer uses the application). The other options confuse deployment models with service models, or represent specific subcategories not the primary classification."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What distinguishes a 'community cloud' from other cloud deployment models?","A community cloud is provisioned for exclusive use by a specific community of organizations sharing common concerns such as mission regulatory requirements or security policies","A community cloud combines resources from multiple public cloud providers into a single managed environment","A community cloud is an on-premises private cloud that allows community members to share physical hardware","A community cloud is a public cloud service restricted geographically to users within a specific country or region","A","Community cloud: shared among organizations with common interests (healthcare organizations sharing HIPAA-compliant infrastructure, government agencies sharing security requirements). May be managed by member organization, third party, or combination. Distinguished from: Public (open to all), Private (single organization), Hybrid (combination of two or more models). Example: FedRAMP community cloud for US federal agencies."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is the 'shared responsibility model' in cloud computing?","A contractual arrangement where cloud provider and customer share equal financial liability for security breaches","An operational model where multiple customers share responsibility for monitoring shared infrastructure","A compliance framework that allows cloud providers and customers to share audit evidence","A framework that defines which security controls are managed by the cloud provider versus the customer based on the service model with providers responsible for security of the cloud and customers responsible for security in the cloud","D","Shared responsibility model: IaaS: provider secures physical, network, hypervisor; customer secures OS, middleware, applications, data, identity. PaaS: provider adds OS and runtime; customer secures applications and data. SaaS: provider secures most; customer secures data classification, access management, and end-user devices. Critical CCSP concept: 'of the cloud' (provider) vs. 'in the cloud' (customer). Misunderstanding leads to security gaps."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","Which of the following BEST describes 'multitenancy' in cloud computing?","Multiple administrators managing different portions of the same cloud infrastructure","A customer deploying their application across multiple cloud provider regions for redundancy","The ability to run multiple operating systems simultaneously on a single hypervisor host","Multiple customers sharing the same physical or virtual infrastructure with logical isolation preventing one tenant's data from being accessed by another","D","Multitenancy: foundational cloud characteristic. Single infrastructure serves multiple customers simultaneously with logical (not physical) separation. Security concern: tenant isolation failure (data leakage between tenants). Related risks: noisy neighbor (performance), side-channel attacks (Spectre/Meltdown). Providers implement: hypervisor isolation, network segmentation (VLANs, security groups), storage isolation (encryption, separate volumes). Contrast with dedicated hosting (single tenant per hardware)."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What are the five essential characteristics of cloud computing according to NIST SP 800-145?","Virtualization, containerization, orchestration, monitoring, and billing","Security, compliance, performance, reliability, and interoperability","Scalability, high availability, redundancy, automation, and cost efficiency","On-demand self-service, broad network access, resource pooling, rapid elasticity, and measured service","D","NIST five essential characteristics: (1) On-demand self-service (provision without human interaction), (2) Broad network access (access over network using standard mechanisms), (3) Resource pooling (provider serves multiple customers, multi-tenant model), (4) Rapid elasticity (scale up/down quickly), (5) Measured service (resource usage monitored, controlled, reported). These characteristics are tested directly on CCSP exam. Other options describe benefits or technologies, not the defining NIST characteristics."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'cloud bursting' and when is it used?","A DDoS attack method that overwhelms cloud provider infrastructure through coordinated traffic","A hybrid cloud configuration where an application runs in private cloud under normal conditions but automatically overflows to public cloud when demand exceeds private cloud capacity","A cost optimization strategy that terminates idle cloud resources during off-peak periods","A technique for rapidly migrating large data volumes from on-premises to public cloud storage","B","Cloud bursting: hybrid cloud deployment pattern. Private cloud handles baseline load (predictable, controlled, sensitive workloads). Public cloud handles overflow (seasonal peaks, unpredictable spikes). Benefits: cost efficiency (don't overprovision private cloud), performance (handle peaks). Challenges: data sovereignty (burst data may go to different jurisdiction), latency (connecting private to public), application architecture (must be designed for burst). Example: retail during holiday season, tax software during April."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is the difference between 'vertical scaling' and 'horizontal scaling' in cloud?","Vertical scaling adds more resources to existing instances while horizontal scaling adds more instances to distribute load","Vertical scaling is automatic while horizontal scaling always requires manual intervention","Vertical scaling adds more physical servers while horizontal scaling increases virtual machine size","Horizontal scaling applies to databases while vertical scaling applies to application servers only","A","Vertical scaling (scale up/down): add CPU, RAM, storage to existing VM. Limits: maximum instance size, requires downtime for some changes. Horizontal scaling (scale out/in): add or remove instances. Benefits: theoretically unlimited, no single point of failure, suits stateless applications. Cloud enables: auto-scaling groups, load balancers distribute traffic. Most cloud-native architectures favor horizontal scaling for resilience and flexibility. Vertical has limits; horizontal scales to demand."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'vendor lock-in' in cloud computing and how can it be mitigated?","Lock-in occurs only with SaaS applications not with IaaS or PaaS services","Dependency on proprietary cloud provider technologies that makes migration to another provider difficult mitigated through open standards portability strategies and multi-cloud architectures","A contractual obligation preventing customers from using multiple cloud providers simultaneously","The technical inability to export data from cloud storage due to proprietary formats","B","Vendor lock-in risks: proprietary APIs (AWS Lambda vs. Azure Functions), proprietary data formats, unique networking constructs, pricing structures. Mitigation strategies: use open standards (OpenStack, Kubernetes, containers), design portable applications (avoid provider-specific services where possible), multi-cloud architecture (parallel deployment), negotiated exit clauses in contracts, data export testing, cloud-agnostic tools (Terraform, Ansible). CCSP emphasizes portability as a cloud security consideration alongside functionality."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is a 'cloud access security broker' (CASB) and what functions does it perform?","A security policy enforcement point between cloud service users and providers that provides visibility control data security and threat protection for cloud service usage","A cloud-based identity provider that manages single sign-on for multiple cloud applications","A network appliance that encrypts all traffic between enterprise networks and cloud services","A third-party auditor that certifies cloud providers meet security standards for enterprise use","A","CASB (Gartner): four pillars: (1) Visibility (discover shadow IT, which cloud services employees use), (2) Compliance (enforce DLP policies, ensure regulatory compliance), (3) Data Security (encryption, tokenization, DLP), (4) Threat Protection (detect anomalies, malware). Deployment modes: API mode (connects to cloud API, no inline inspection), proxy mode (forward proxy or reverse proxy, inline inspection). Use cases: prevent data exfiltration via personal Dropbox, enforce encryption for sensitive data uploads, detect compromised accounts."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What does 'elasticity' mean in cloud computing and how does it differ from 'scalability'?","Both terms are synonymous in cloud computing with different vendors using different terminology","Elasticity is the ability to automatically scale resources up or down in response to real-time demand while scalability is the general ability to handle increased load through resource addition","Elasticity refers to the physical flexibility of hardware components while scalability refers to software growth","Elasticity is a billing feature that charges only for used resources while scalability is a performance metric","B","Distinction: Scalability = system's ability to handle growth (adding resources manually or at planned intervals). Elasticity = automatic, dynamic scaling in REAL TIME based on current demand (scale up when traffic spikes at 2 PM, scale down when traffic drops at 3 AM). Elasticity implies automation and proportionality. Cloud-native feature enabled by: auto-scaling groups, serverless functions, container orchestration (Kubernetes HPA). Both terms appear on CCSP exam — knowing the distinction matters."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'Infrastructure as Code' (IaC) and what security implications does it have?","A development methodology where infrastructure decisions are made by software developers rather than operations teams","Defining and provisioning infrastructure through machine-readable configuration files that enable repeatable consistent deployments with security implications including secrets in code version control exposure and configuration drift","A cloud billing model where customers pay for infrastructure usage like paying for utility services","A virtualization technique that abstracts physical hardware into software-defined resources","B","IaC (Terraform, CloudFormation, Ansible): declare infrastructure state in code files. Benefits: consistency (eliminate manual configuration drift), repeatability, version control (track changes), automation. Security implications: secrets management (don't hardcode credentials in IaC — use secrets managers), IaC code review (security misconfigurations caught before deployment), supply chain risk (malicious IaC modules), state files (contain sensitive infrastructure info). SAST for IaC: Checkov, tfsec, cfn-nag scan for security issues before deployment."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'serverless computing' and what security model does it use?","A deployment model eliminating the need for DevOps teams since all infrastructure is automated","A cost model where customers only pay when code executes with providers absorbing idle infrastructure costs","Computing performed without any servers where all processing happens at the client device level","A cloud execution model where the provider manages all infrastructure and the customer deploys only application code with a security model where providers handle OS security but customers must secure application logic and permissions","D","Serverless (AWS Lambda, Azure Functions, Google Cloud Functions): provider manages everything below function execution. Customer writes function code only. Security model: provider secures runtime environment, OS, scaling; customer secures: function permissions (least-privilege IAM roles), input validation, dependency security, secrets management, application logic. Unique risks: function event injection (triggers from untrusted sources), privilege escalation via misconfigured roles, dependency vulnerabilities in function packages, ephemeral environment forensics challenges."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is the 'Cloud Control Matrix' (CCM) published by the Cloud Security Alliance?","A regulatory compliance checklist that lists all legal requirements for operating cloud services","A procurement framework that helps organizations evaluate and select cloud service providers","A cybersecurity control framework specifically designed for cloud computing that maps controls to cloud service and deployment models and aligns with major standards like ISO 27001 and SOC 2","A performance benchmarking framework that measures cloud provider service quality and uptime","C","CSA CCM: 197 controls across 17 domains covering: Application Security, Audit, Business Continuity, Change Control, Data Security, Encryption, Governance, Human Resources, Identity, Infrastructure, Interoperability, Mobile, Operations, Risk, Supply Chain, Threat Intelligence, and Virtualization. Maps to: ISO 27001, COBIT, NIST, PCI-DSS, HIPAA. Used for: cloud provider risk assessments (via STAR registry), security baseline for cloud deployments, due diligence questionnaire (CAIQ — Consensus Assessments Initiative Questionnaire)."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'resource pooling' in cloud computing and what risk does it introduce?","The aggregation of computing resources from multiple cloud providers into a unified environment","Providers serving multiple customers from shared physical resources using multi-tenant model introducing risks of data commingling isolation failures and side-channel attacks","A data management practice of consolidating similar datasets for more efficient storage","The practice of combining network bandwidth from multiple ISP connections for cloud services","B","Resource pooling: NIST characteristic where provider serves multiple customers from shared infrastructure. Customers have no control or knowledge of physical resource location. Risk implications: (1) Data commingling (physical storage may hold multiple customers' data), (2) Isolation failures (hypervisor bugs, shared memory vulnerabilities), (3) Side-channel attacks (Spectre/Meltdown — infer other tenants' data from timing measurements), (4) Forensics challenges (evidence may span multiple tenants). Mitigation: dedicated instances, encryption, contractual isolation guarantees."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'cloud computing governance' and what frameworks support it?","The technical mechanisms cloud providers use to enforce security policies across their infrastructure","A regulatory requirement mandating cloud providers obtain government certification before operations","A financial framework for approving and tracking cloud computing expenditures across business units","The policies procedures and accountability structures that ensure cloud computing aligns with organizational objectives manages risk appropriately and meets compliance obligations supported by COBIT ISO 38500 and ITIL","D","Cloud governance encompasses: strategy (align cloud with business goals), risk management (identify and treat cloud risks), compliance (regulatory and contractual obligations), resource management (cost, capacity), performance management (SLA monitoring). Frameworks: COBIT 2019 (general IT governance), ISO 38500 (corporate governance of IT), ITIL 4 (service management), CSA CCM (cloud-specific controls), NIST Cybersecurity Framework (risk management). Organizations adapt these frameworks to create cloud-specific governance policies."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is the 'NIST Cloud Computing Reference Architecture'?","A security standard requiring specific encryption and access control mechanisms for government cloud","A conceptual model identifying five major actors (cloud consumer, provider, auditor, broker, carrier) and their activities and relationships in cloud computing","A technical specification defining the hardware and software requirements for building cloud infrastructure","A performance benchmark that cloud providers must meet to receive NIST certification","B","NIST SP 500-292 Cloud Reference Architecture: Five actors: (1) Cloud Consumer (uses cloud services), (2) Cloud Provider (provides cloud services), (3) Cloud Auditor (assesses services, security, performance, compliance), (4) Cloud Broker (manages use, performance, and delivery of cloud services), (5) Cloud Carrier (provides connectivity between consumers and providers — ISP/network providers). Understanding actor roles and relationships is fundamental to CCSP. Auditors and brokers play important third-party roles in cloud security."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'cloud service measurement' and why is it important for security?","A quality assurance process that validates cloud provider security controls meet contractual standards","The monitoring metering and reporting of cloud resource usage that enables billing transparency capacity planning and detection of anomalous usage patterns that may indicate security incidents","A compliance activity that documents how cloud resources are used for regulatory reporting","A benchmarking exercise that compares cloud provider performance against industry standards","B","Measured service (NIST characteristic): automatic control and optimization of resource use via metering. Security value: (1) Anomaly detection (unusual compute usage may indicate cryptomining malware, unusual data transfer may indicate exfiltration), (2) Billing verification (detect unauthorized resource provisioning), (3) Capacity planning (ensure resources available for legitimate needs), (4) Audit trail (resource usage logs for forensics). Cloud management platforms aggregate metering data. Cost anomaly detection is often the first indicator of a compromise."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'cloud orchestration' and how does it relate to security?","The automated coordination of cloud resources services and workflows with security implications including privileged access for orchestration tools expanded attack surface and the need for orchestration pipeline security","The management of physical data center resources by cloud providers to ensure service availability","A cloud provider function that prioritizes workloads based on business criticality","The manual process of provisioning cloud resources according to approved change management procedures","A","Cloud orchestration (Kubernetes, AWS Step Functions, Azure Logic Apps): automate multi-service workflows. Security implications: orchestration platforms require broad permissions (high-value attack target), misconfigured orchestration = lateral movement pathway, supply chain risk (orchestration tool vulnerabilities), secrets management (orchestration needs credentials for many services), audit logging (track all automated actions). Kubernetes security: RBAC, network policies, pod security policies, image scanning. Orchestration security is part of DevSecOps."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What distinguishes 'managed security services' from standard cloud security controls?","Managed security services are outsourced security operations delivered by a third-party MSSP providing continuous monitoring threat detection and response while standard controls are built-in provider security features customers configure themselves","Standard cloud security controls require customer implementation while managed services are automatically applied","Managed security services use AI while standard cloud controls use traditional signature-based detection","Managed security services are exclusively available to enterprise customers while standard controls serve all customers","A","MSSP (Managed Security Service Provider): outsourced security operations. Services: SOC-as-a-Service, 24/7 monitoring, SIEM management, threat intelligence, incident response. Distinction from built-in cloud security: provider security features (AWS Security Hub, Azure Defender) are self-managed by customer. MSSP takes over operation. Benefits: expertise, 24/7 coverage, cost vs. internal SOC. Risks: third-party access to sensitive data and systems, SLA dependency. CCSP: MSSPs are a cloud service category with their own shared responsibility considerations."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Concepts, Architecture, and Design","What is 'digital sovereignty' and why is it a cloud computing concern?","The concept that nations have rights to govern data flows and cloud infrastructure within their territory creating compliance requirements around data localization and cross-border data transfers","A technical standard defining encryption requirements for protecting sensitive government data","The exclusive ownership rights cloud providers retain over customer data stored in their infrastructure","The right of individuals to control how their personal data is used by cloud applications","A","Digital sovereignty: nations asserting control over data within their borders. Examples: GDPR (EU data protection), China Cybersecurity Law (data localization), Russia (personal data must be stored in Russia). Cloud implications: data residency requirements (data must stay in specific country), government access laws (providers may be compelled to share data), infrastructure localization requirements. CCSP: understand that cloud customers must map data flows to jurisdictional requirements. Sovereign cloud offerings (AWS GovCloud, Azure Government) address some requirements."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Data Security","What are the six phases of the 'cloud data lifecycle'?","Generate, Encrypt, Transfer, Replicate, Back Up, and Purge representing security operations on data","Create, Store, Use, Share, Archive, and Destroy representing the stages data passes through from creation to final deletion","Input, Validation, Storage, Processing, Output, and Disposal representing data handling procedures","Collect, Process, Analyze, Transmit, Retain, and Delete representing data processing stages","B","CSA Cloud Data Lifecycle: (1) Create (data generated or modified), (2) Store (persisted), (3) Use (viewed, processed, edited), (4) Share (transmitted to others), (5) Archive (long-term retention), (6) Destroy (permanent deletion). Security controls vary by phase: encryption at Create, access controls at Use, DLP at Share, retention policies at Archive, secure deletion at Destroy. CCSP requires understanding which controls apply to which phase."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Data Security","What is 'data sovereignty' in cloud computing?","The right of data owners to exclusively control how their information is used by cloud applications","The principle that data is subject to the laws and governance of the country where it is physically stored requiring organizations to understand where cloud providers store data and what jurisdiction applies","A technical measure that prevents cloud providers from accessing customer data without authorization","A contractual provision giving customers ownership of all data they create within cloud services","B","Data sovereignty: data is governed by the laws of the jurisdiction where it physically resides. Implications: data stored in EU subject to GDPR, data in US potentially subject to CLOUD Act (government access), data in China subject to Chinese cybersecurity laws. Cloud challenges: providers replicate data globally for availability, customers often don't know exact physical location. Controls: contractual data residency requirements, provider data residency configurations (specific regions), encryption with customer-managed keys (limits provider access regardless of jurisdiction)."
"(ISC)2 CCSP","CCSP","700","150","125","25","180","Cloud Data Security","What is the difference between 'data at rest', 'data in transit', and 'data in use' encryption?","These three states apply only to structured database data and not to unstructured files or object storage","Data in transit encryption is mandatory while data at rest and data in use encryption are optional security enhancements","Data at rest is stored data encrypted on disk, data in transit is data encrypted during network transmission, and data in use is data in active memory with confidential computing protecting it from unauthorized access","Data at rest uses symmetric encryption, data in transit uses asymmetric encryption, and data in use remains unencrypted since encryption prevents processing","C","Three data states: Data at rest (stored, encryption: AES-256, TDE for databases, volume encryption), Data in transit (moving over network, encryption: TLS 1.2+, VPN, SFTP), Data in use (active in memory during processing, protection: confidential computing — Intel SGX, AMD SEV — encrypts memory so even hypervisor can't read it). Historically hardest to protect: data in use. Confidential computing is emerging for cloud (Azure Confidential Computing, AWS Nitro Enclaves). CCSP emphasizes all three states must be addressed."
